Title,View,View1,shortprofile,shortprofile2
Supremely happy,American Express®® Credit Card,Supremely happy and proud for the variety and diversity offered by this card.,"Soham
Posted on: Aug 6, 2019",Soham
This is a great card,American Express®® Credit Card,This is a great card which has a worldwide acceptance. Like it!,"Tarushi
Posted on: Aug 6, 2019",Tarushi
This one is perfect,American Express®® Credit Card,Don't think I could have found a better scheme of card. This one is perfect.,"Takdir
Posted on: Aug 6, 2019",Takdir
Love this credit card,American Express®® Credit Card,Love this credit card for the super fine variety in offers and benefits that it brings my way.,"Abhya
Posted on: Aug 6, 2019",Abhya
Perfect card,American Express®® Credit Card,A perfect card with an even perfect scheme of rewards. Like it!,"Pavitra
Posted on: Aug 6, 2019",Pavitra
Delivered at my home,American Express®® Credit Card,I can actually have money delivered at my home with a slight additional cost.,"Daman
Posted on: Aug 6, 2019",Daman
Provision of converting,American Express®® Credit Card,There is a provision of converting the big ticket purchases to EMIs with this card.,"Preity
Posted on: Aug 6, 2019",Preity
Super happy,American Express®® Credit Card,Super happy with the low interest charged on my American express card.,"Savita
Posted on: Aug 6, 2019",Savita
Benefits,American Express®® Credit Card,"Though I felt that 10,000 for the card fee was pretty high but when I experienced the benefits, I have nothing to complain about.","Champak
Posted on: Aug 6, 2019",Champak
Super proud,American Express®® Credit Card,Super proud of myself for my right decision of switching from ICICI to American express.,"Sudarshan
Posted on: Aug 6, 2019",Sudarshan
Packed with benefits,American Express®® Credit Card,No wonder this card is packed with benefits. Worth the cost it comes with.,"Pawan
Posted on: Aug 6, 2019",Pawan
Truly admire,American Express®® Credit Card,Truly admire the agents and the staff of American express who helped me find my perfect credit card.,"Tuhin
Posted on: Aug 6, 2019",Tuhin
Diversity in offers,American Express®® Credit Card,I like this card for the diversity in offers that it brings my way.,"Dikshi
Posted on: Aug 6, 2019",Dikshi
Small foreign transaction fee,American Express®® Credit Card,There is a small foreign transaction fee charged from me on this card.,"Gia
Posted on: Aug 6, 2019",Gia
Fine welcome benefits,American Express®® Credit Card,"The fine welcome benefits and vouchers, made me go for this card.","Maya
Posted on: Aug 6, 2019",Maya
I totally recommend,American Express®® Credit Card,I totally recommend this card for people who love traveling and eating out.,"Amrinder
Posted on: Aug 6, 2019",Amrinder
Grocery shopping,American Express®® Credit Card,Grocery shopping is made so convenient with this credit card. Best!,"Gopalan
Posted on: Aug 6, 2019",Gopalan
Excited,American Express®® Credit Card,"Excited to share with you that in the last year, I had a savings of 18,000 with this card.","Sudha
Posted on: Aug 6, 2019",Sudha
Abundant variety of offers,American Express®® Credit Card,Like the abundant variety of offers and reward points that I am getting with this card.,"Ashna
Posted on: Aug 6, 2019",Ashna
Best decision,American Express®® Credit Card,Made the best decision of my life by switching to this card. It is great!,"Megha
Posted on: Aug 6, 2019",Megha
Perfectly balanced card,American Express®® Credit Card,"I have used credit cards before but I don't do recommendations but I can say it with absolute confidence, if you need a perfectly balanced card, this could be a fine pick.","Salim
Posted on: Aug 6, 2019",Salim
Fine variety,American Express®® Credit Card,I am truly impressed by the fine variety in deals and discounts that I get everyday with this card.,"Maheka
Posted on: Aug 6, 2019",Maheka
Exciting variety in offers,American Express®® Credit Card,Like the exciting variety in offers and discounts that I get with my card.,"Ekta
Posted on: Aug 6, 2019",Ekta
Most comprehensive credit card,American Express®® Credit Card,This is by far the most comprehensive credit card I have ever used. It is perfect!,"Manya
Posted on: Aug 6, 2019",Manya
Bountiful of benefits,American Express®® Credit Card,"I don't think, I'll ever feel the need to switch given the bountiful of benefits I am getting with this card.","Param
Posted on: Aug 6, 2019",Param
Confidence,American Express®® Credit Card,Can say it with 100% confidence. No bank is even closer to the benefits offered by this bank.,"Gopal
Posted on: Aug 6, 2019",Gopal
Variety in offers,American Express®® Credit Card,"I am too excited for the fine variety in offers on dining, hotel and movies made available with this card.","Vriti
Posted on: Aug 6, 2019",Vriti
Perfect pick,American Express®® Credit Card,"For people who like living the exotic lifestyle, this card is a perfect pick.","Pavitesh
Posted on: Aug 6, 2019",Pavitesh
Elite hotel privileges,American Express®® Credit Card,I like the elite hotel privileges that I get my credit card.,"Esha
Posted on: Aug 6, 2019",Esha
Privileges,American Express®® Credit Card,This credit card has the most perfect dining and restaurant privileges.,"Appi
Posted on: Aug 6, 2019",Appi
Multitude of benefits and offers,American Express®® Credit Card,The reason for my genuine liking towards this card can be attributed to the multitude of benefits and offers.,"Mohak
Posted on: Aug 6, 2019",Mohak
It is the best,American Express®® Credit Card,It has been a while that I am using this AMEX card. It is the best!,"Astha
Posted on: Aug 6, 2019",Astha
I am happy and impressed,American Express®® Credit Card,I am happy and impressed with the reward structure of this credit card.,"Ashna
Posted on: Aug 6, 2019",Ashna
Love it,American Express®® Credit Card,The dining deals and discounts on this card are superb! Love it!,"Harshna
Posted on: Aug 6, 2019",Harshna
I am glad,American Express®® Credit Card,"I am glad, I can use this card at almost all stores online and offline.","Asha
Posted on: Aug 6, 2019",Asha
Online shopping,American Express®® Credit Card,"On the online shopping done with this card, I got 15% off.","Onika
Posted on: Aug 6, 2019",Onika
Amazon voucher,American Express®® Credit Card,"With my credit card, I got a free Amazon voucher worth INR 1000.","Anisha
Posted on: Aug 6, 2019",Anisha
Reasonable joining fee,American Express®® Credit Card,There is a reasonable joining fee of INR 5000 plus taxes charged from me for this card.,"Manish
Posted on: Aug 6, 2019",Manish
Zero convenience cost,American Express®® Credit Card,"At HPCL petrol pumps across the country, I have to bear a zero convenience cost.","Jigar
Posted on: Aug 6, 2019",Jigar
Dining benefits,American Express®® Credit Card,Love the plenty of dining benefits that I am eligible for with this card.,"Dia
Posted on: Aug 6, 2019",Dia
BOGO movie offer,American Express®® Credit Card,I got a BOGO movie offer with my Amex card. So awesome!,"Hima
Posted on: Aug 6, 2019",Hima
Fuel discount,American Express®® Credit Card,The fuel discount that I got with my Amex card is superb!,"Fanny
Posted on: Aug 6, 2019",Fanny
Super impressed,American Express®® Credit Card,Super impressed by the diverse nature of rewards and cashbacks of this credit card.,"Soham
Posted on: Aug 6, 2019",Soham
So great,American Express®® Credit Card,"For every INR 50 that I spend, I get 1 reward point. So great!","Suhani
Posted on: Aug 6, 2019",Suhani
Complimentary bonus rewards,American Express®® Credit Card,"I got complimentary bonus rewards of 11,000 as joining benefits with this card","Kashyap
Posted on: Aug 6, 2019",Kashyap
American Express Platinum Reserve Card,American Express®® Credit Card,It is true that the American Express Platinum Reserve Card attracts an annual fee which is high but it also comes with a range of benefits to match,"Anika
Posted on: Aug 6, 2019",Anika
I am glad,American Express®® Credit Card,I am glad I opted for this credit card. It is just too perfect!!,"Anisha
Posted on: Aug 6, 2019",Anisha
Thank you Amex,American Express®® Credit Card,Thank you Amex for being so helpful when I needed a quick and hassle free delivery of this card.,"Tanya
Posted on: Aug 6, 2019",Tanya
Happy with the multitude of rewards,American Express®® Credit Card,Happy with the multitude of rewards and benefits that I am getting so often with this credit card.,"Harpreet
Posted on: Aug 6, 2019",Harpreet
So good,American Express®® Credit Card,Like how incredibly rewarding this credit card is. So good!,"Suresh
Posted on: Aug 6, 2019",Suresh
Thanks guys,American Express®® Credit Card,"Since I am just 18, I didn't know it would be possible for me to get my card with such an ease. Thanks guys!","Tanay
Posted on: Aug 6, 2019",Tanay
Promising card,American Express®® Credit Card,I haven't seen a more promising card elsewhere. So perfect!,"Pia
Posted on: Aug 6, 2019",Pia
Great deals,American Express®® Credit Card,This credit card fetches me great deals at the exquisite hotels like The Taj and The Oberoi.,"Sudesh
Posted on: Aug 6, 2019",Sudesh
Vouchers,American Express®® Credit Card,I get vouchers worth 6000 for online shopping and movies in a year with this card.,"Sita
Posted on: Aug 6, 2019",Sita
Savings,American Express®® Credit Card,"This card helped me have a savings of more than 15,000 in the last year.","Sona
Posted on: Aug 6, 2019",Sona
Multitude of additional offers,American Express®® Credit Card,I am getting a multitude of additional offers and benefits with this card.,"Mohini
Posted on: Aug 6, 2019",Mohini
Team of Amex,American Express®® Credit Card,Super like the team of Amex who helped me get my card delivered in just 4 days of the application.,"Girja
Posted on: Aug 6, 2019",Girja
I am super happy,American Express®® Credit Card,"I am super happy with the vast array of offers, deals and benefits that I am getting with this card.","Mahika
Posted on: Aug 6, 2019",Mahika
Variety in benefits and offers,American Express®® Credit Card,I feel this is a decent cost card given the massive variety in benefits and offers.,"Vibha
Posted on: Aug 6, 2019",Vibha
Auxiliary cost,American Express®® Credit Card,The auxiliary cost associated with this card is fairly decent.,"Anjali
Posted on: Aug 6, 2019",Anjali
Interest cost,American Express®® Credit Card,"On this credit card, I had to bear only 3.5% as the interest cost.","Ansha
Posted on: Aug 6, 2019",Ansha
Complimentary lounge accesses,American Express®® Credit Card,I am getting so many complimentary lounge accesses with this card.,"Chaman
Posted on: Aug 6, 2019",Chaman
Grace period,American Express®® Credit Card,Though there was no interest free grace period but the other benefits made up for this one.,"Kapil
Posted on: Aug 6, 2019",Kapil
Amazon voucher,American Express®® Credit Card,I got an Amazon voucher worth 1000 with my card. Great!,"Amisha
Posted on: Aug 6, 2019",Amisha
BMS voucher,American Express®® Credit Card,I had applied for this card online and I got a free BMS voucher delivered with it.,"Bharti
Posted on: Aug 6, 2019",Bharti
So happy,American Express®® Credit Card,So happy that the team at Amex gave me details related to every aspect of this card before issuing me the same.,"Sarika
Posted on: Aug 6, 2019",Sarika
I am just happy,American Express®® Credit Card,"I am just happy that at a decent interest cost, I could get this credit card issued.","Alisha
Posted on: Aug 6, 2019",Alisha
Documentation,American Express®® Credit Card,Glad that the team at AMEX didn't waste a lot of time in documentation.,"Chandni
Posted on: Aug 6, 2019",Chandni
AMEX bank,American Express®® Credit Card,The AMEX bank followed a 100% paperless method for giving me an approval on this card.,"Amandeep
Posted on: Aug 6, 2019",Amandeep
Super happy,American Express®® Credit Card,Super happy that the team of Amex helped me understand all the aspects of this card before issuing it to me.,"Mohan
Posted on: Aug 6, 2019",Mohan
No additional cost,American Express®® Credit Card,"Glad that for having my card delivered, I had to bear no additional cost.","Naira
Posted on: Aug 6, 2019",Naira
Super happy,American Express®® Credit Card,c with the staff and team of AmEx who helped me get my card with ease.,"Shazan
Posted on: Aug 6, 2019",Shazan
I had few queries,American Express®® Credit Card,I had few queries regarding the deals and usage of my card so I contacted the customer support team who helped me out.,"Samay
Posted on: Aug 6, 2019",Samay
AMEX is the best bank,American Express®® Credit Card,Such a perfect scheme of card. AMEX is the best bank ever.,"Niharika
Posted on: Aug 6, 2019",Niharika
No better card,American Express®® Credit Card,It has been quite a while that I am using credit cards and I am certain that there isn't a better card than this one.,"Nisha
Posted on: Aug 6, 2019",Nisha
Golfing benefits,American Express®® Credit Card,This credit card fetches me complementary golfing benefits.,"Gia
Posted on: Aug 6, 2019",Gia
Plethora of benefits,American Express®® Credit Card,I am getting a plethora of benefits across the premium hotels like The Taj and The Oberoi.,"Pari
Posted on: Aug 6, 2019",Pari
Airport lounges,American Express®® Credit Card,This credit card fetches me free access to the airport lounges.,"Anu
Posted on: Aug 6, 2019",Anu
Variety of lifestyle benefits,American Express®® Credit Card,I am getting a variety of lifestyle benefits with this AMEX Platinum reserve credit card.,"Vipin
Posted on: Aug 6, 2019",Vipin
No unnecessary documents,American Express®® Credit Card,"Not too many unnecessary documents were asked for, for getting an approval on this card.","Shekhar
Posted on: Aug 6, 2019",Shekhar
Simple and hassle free procedure,American Express®® Credit Card,There is a simple and hassle free procedure for the approval of this credit card.,"Sachin
Posted on: Aug 6, 2019",Sachin
Credit score,American Express®® Credit Card,My credit score is 703. I got my card approval with no hassle.,"Kamish
Posted on: Aug 6, 2019",Kamish
Never defaulted in my payments,American Express®® Credit Card,"I have never defaulted in my payments, so I got my card approval in no time.","Nia
Posted on: Aug 6, 2019",Nia
Happy,American Express®® Credit Card,Happy that this bank gives the card to individuals over 18 years.,"Harjinder
Posted on: Aug 6, 2019",Harjinder
Working individual,American Express®® Credit Card,"I am a working individual with a salary of INR 6 lac +, so for me getting this card wasn't hard.","Vriti
Posted on: Aug 6, 2019",Vriti
Amplified my savings,American Express®® Credit Card,I like this credit card. It has amplified my savings massively!!,"Amisha
Posted on: Aug 6, 2019",Amisha
Such a perfect credit card,American Express®® Credit Card,Such a perfect credit card with a multitude of offers coming my way everyday.,"Sia
Posted on: Aug 6, 2019",Sia
Amazing fascinating bonus,American Express®® Credit Card,I am getting some amazing fascinating bonus deals with this credit card.,"Amay
Posted on: Aug 6, 2019",Amay
Benefits,American Express®® Credit Card,Though the cost is a bit on the higher side but the benefits totally make up for it.,"Neeraj
Posted on: Aug 6, 2019",Neeraj
Fine variety in benefits,American Express®® Credit Card,"No credit card provides such a fine variety in benefits, offers and deals like this one.","Farida
Posted on: Aug 6, 2019",Farida
Perfect credit card,American Express®® Credit Card,"This is the perfect credit card with a fine variety in benefits, deals and offers.","Pammi
Posted on: Aug 6, 2019",Pammi
I made a switch,American Express®® Credit Card,You won't believe how relieved I feel ever since I made a switch to this credit card.,"Ashish
Posted on: Aug 6, 2019",Ashish
Perfect scheme,American Express®® Credit Card,This is by far the most perfect scheme of credit card that I have ever used.,"Manni
Posted on: Aug 6, 2019",Manni
I switched to this card,American Express®® Credit Card,I cannot tell you how much more I am saving just after I switched to this card.,"Priyam
Posted on: Aug 6, 2019",Priyam
Reward redemption,American Express®® Credit Card,"Unlike the banks that charge 99 INR or more for the reward redemption, on this card, I had to pay nothing extra.","Mahir
Posted on: Aug 6, 2019",Mahir
Accrued reward points,American Express®® Credit Card,I used my accrued reward points against airline ticket bookings.,"Amaira
Posted on: Aug 6, 2019",Amaira
Currency conversion rate,American Express®® Credit Card,The currency conversion rate is pretty reasonable @3.5%.,"Manjaree
Posted on: Aug 6, 2019",Manjaree
Reward points,American Express®® Credit Card,The reward points of this credit card can be used for an array of purposes.,"Mihir
Posted on: Aug 6, 2019",Mihir
Late payment of my dues,American Express®® Credit Card,Paid 1000 INR as a fine for the late payment of my dues.,"Naira
Posted on: Aug 6, 2019",Naira
Reward point redemption,American Express®® Credit Card,I had to bear no cost for the reward point redemption.,"Nitin
Posted on: Aug 6, 2019",Nitin
Happy,American Express®® Credit Card,Happy with the diverse nature of this credit card. It is the best!!,"Tridha
Posted on: Aug 6, 2019",Tridha
I was charged a fine,American Express®® Credit Card,"When I cleared my dues a little late, I was charged a fine @ 30% of the min amount due.","Champak
Posted on: Aug 6, 2019",Champak
Small fee,American Express®® Credit Card,A small fee for the foreign transactions is charged from me @3.5% per month.,"Sohan
Posted on: Aug 6, 2019",Sohan
Absolutely no fee charged,American Express®® Credit Card,There is absolutely no fee charged for the redemption of points or miles,"Alisha
Posted on: Aug 6, 2019",Alisha
Multitude of savings,American Express®® Credit Card,"I really feel that given the multitude of savings and offers, this is by far the most perfect card, I have used.","Meenal
Posted on: Aug 6, 2019",Meenal
Over limit charge,American Express®® Credit Card,A small over limit charge of just INR 500 was charge from me.,"Omar
Posted on: Aug 6, 2019",Omar
Duplicate statement,American Express®® Credit Card,A duplicate statement can be availed from the bank at just INR 100.,"Dua
Posted on: Aug 6, 2019",Dua
Add on cards,American Express®® Credit Card,"I had already taken 4 add on cards but I needed another card, so I paid 1500 INR and got a 5th card.","Anil
Posted on: Aug 6, 2019",Anil
No additional fee,American Express®® Credit Card,"On the 4 add on cards that I got with my card, I had to bear no additional fee.","Nupur
Posted on: Aug 6, 2019",Nupur
Air insurance cover,American Express®® Credit Card,"On this credit card, I get an air insurance cover worth 1 crore free for the tickets bought using this card.","Alia
Posted on: Aug 6, 2019",Alia
Withdrawal of the cash,American Express®® Credit Card,"On the withdrawal of the cash, I was charged INR 250 by the bank.","Vriti
Posted on: Aug 6, 2019",Vriti
Reasonable fee,American Express®® Credit Card,There is a very reasonable fee on the withdrawal of the cash @3.35% only.,"Rega
Posted on: Aug 6, 2019",Rega
I got a complimentary insurance,American Express®® Credit Card,I got a complimentary insurance benefit with this card. So good!!,"Tarak
Posted on: Aug 6, 2019",Tarak
Interest rate,American Express®® Credit Card,The interest rate applicable on this card is only 3.35%. So good!,"Alisha
Posted on: Aug 6, 2019",Alisha
Annual fee,American Express®® Credit Card,"On this card, I had to pay an annual fee of INR 10,000. Reasonable!","Akash
Posted on: Aug 6, 2019",Akash
I am not held liable,American Express®® Credit Card,"In case the card is lost or stolen, I am not held liable for the transactions that happen thereafter.","Amrinder
Posted on: Aug 6, 2019",Amrinder
Joining fee,American Express®® Credit Card,The joining fee is just INR 5000 + taxes applicable on my card.,"Jigar
Posted on: Aug 6, 2019",Jigar
Convenience fee charged,American Express®® Credit Card,There is a 0% convenience fee charged from me at all the HPCL stations across country.,"Chandni
Posted on: Aug 6, 2019",Chandni
I lost my card,American Express®® Credit Card,"When I lost my card, I got a replacement for my card within just 3 days of the incidence.","Ashna
Posted on: Aug 6, 2019",Ashna
Tickets purchased,American Express®® Credit Card,"On the tickets purchased with this card, I am getting a complimentary insurance against air accidents.","Tabu
Posted on: Aug 6, 2019",Tabu
Liability on the lost card,American Express®® Credit Card,There is 0% liability on the lost card with this credit card.,"Lavina
Posted on: Aug 6, 2019",Lavina
AMEX agents,American Express®® Credit Card,Thank you AMEX agents who came out for my assistance. Best bank.,"Anjali
Posted on: Aug 6, 2019",Anjali
AMEX bank executives,American Express®® Credit Card,The AMEX bank executives followed a simple and hassle free process while granting me this loan.,"Anil
Posted on: Aug 6, 2019",Anil
Appreciate the support,American Express®® Credit Card,Totally appreciate the support that I got from the team of Amex bank.,"Amrinder
Posted on: Aug 6, 2019",Amrinder
Comprehensive scheme,American Express®® Credit Card,Haven't seen a more comprehensive scheme of card. It is the best!,"Kaira
Posted on: Aug 6, 2019",Kaira
I am super happy,American Express®® Credit Card,I am super happy that this card does complete justice to my needs. It is the best!,"Abhay
Posted on: Aug 6, 2019",Abhay
Credit limit,American Express®® Credit Card,The credit limit I got with this card was 2 lac INR. Perfect!,"Kanika
Posted on: Aug 6, 2019",Kanika
Lounging and golfing benefits,American Express®® Credit Card,Some fascinating lounging and golfing benefits came my way with this card.,"Gita
Posted on: Aug 6, 2019",Gita
Recommend this credit card,American Express®® Credit Card,Recommend this credit card for the people who travel a lot.,"Uddhav
Posted on: Aug 6, 2019",Uddhav
Superb credit card,American Express®® Credit Card,"Superb credit card with an array of benefits, vouchers, deals and benefits.","Soham
Posted on: Aug 6, 2019",Soham
I like the benefits,American Express®® Credit Card,"I like the benefits, discounts, cashbacks, deals and vouchers that I get with this card.","Mahima
Posted on: Aug 6, 2019",Mahima
Little costly,American Express®® Credit Card,Though the card is a little costly but the benefits it offers truly make up for its cost.,"Larrisha
Posted on: Aug 6, 2019",Larrisha
AMEX,American Express®® Credit Card,I love the fact that AMEX has truly kept up to its name and given me some fascinating discounts.,"Amish
Posted on: Aug 6, 2019",Amish
Vouchers and benefits,American Express®® Credit Card,"This card brought me welcome vouchers and benefits worth 11,000.","Vibha
Posted on: Aug 6, 2019",Vibha
Switching to this credit card,American Express®® Credit Card,"Never knew, I could save over 15000 just by switching to this credit card.","Sagar
Posted on: Aug 6, 2019",Sagar
Array of discounts,American Express®® Credit Card,"Love the array of discounts, vouchers and benefits that come with this credit card.","Maheep
Posted on: Aug 6, 2019",Maheep
I am using this credit card,American Express®® Credit Card,I am using this credit card for a while. It has some really fascinating benefits.,"Kishan
Posted on: Aug 6, 2019",Kishan
Assistance,American Express®® Credit Card,There is a 24/7 assistance available from the bank. Super satiated.,"Aniket
Posted on: Aug 6, 2019",Aniket
Love this credit card,American Express®® Credit Card,Love this credit card which brings in an exciting variety of benefits.,"Lokesh
Posted on: Aug 6, 2019",Lokesh
Superb,American Express®® Credit Card,Cannot believe how incredibly exciting this scheme of card is. Superb!,"Seema
Posted on: Aug 6, 2019",Seema
Platinum Concierge service,American Express®® Credit Card,The Platinum Concierge service that I get with this card is just the perfect benefit.,"Parishi
Posted on: Aug 6, 2019",Parishi
Perfect and a value packed card,American Express®® Credit Card,Such a perfect and a value packed card. Truly love the fine benefits I get with it.,"Kishan
Posted on: Aug 6, 2019",Kishan
Vivid variety,American Express®® Credit Card,This card brings in a vivid variety of benefits and offers for me. So perfect!,"Veena
Posted on: Aug 6, 2019",Veena
Super happy,American Express®® Credit Card,Super happy that not a lot of cost was involved in me getting this card from the bank.,"Sudeep
Posted on: Aug 6, 2019",Sudeep
Granting me this loan,American Express®® Credit Card,I am glad that the bank followed a 100% paperless method while granting me this loan.,"Gauravi
Posted on: Aug 6, 2019",Gauravi
Decent credit limit,American Express®® Credit Card,I have always had a decent credit limit so for me getting an approval on this card was easy.,"Dishant
Posted on: Aug 6, 2019",Dishant
AMEX bank,American Express®® Credit Card,"For every type of query, I can always reach out to the executives of AMEX bank.","Amrinder
Posted on: Aug 6, 2019",Amrinder
So quick,American Express®® Credit Card,I got an approval for my AMEX card in just 2 days. So quick!,"Sia
Posted on: Aug 6, 2019",Sia
AMEX bank,American Express®® Credit Card,I truly admire AMEX bank. They had my credit card delivered in just 4 days.,"Lisha
Posted on: Aug 6, 2019",Lisha
Massive amount of savings,American Express®® Credit Card,Who would have thought that a card could bring in such a massive amount of savings!!,"Maheep
Posted on: Aug 6, 2019",Maheep
Credit cards,American Express®® Credit Card,Of course I have used credit cards before but none of them have been able to satiate me like this one.,"Riddhi
Posted on: Aug 6, 2019",Riddhi
Recommend this card,American Express®® Credit Card,I recommend this card for the exciting variety in benefits this offers.,"Reva
Posted on: Aug 6, 2019",Reva
Incredible variety,American Express®® Credit Card,Such a perfect credit card with such incredible variety in offers and schemes.,"Lalita
Posted on: Aug 6, 2019",Lalita
Fine variety in benefits,American Express®® Credit Card,I truly admire the fine variety in benefits and privileges that I get with this card.,"Mahima
Posted on: Aug 6, 2019",Mahima
Zero liability,American Express®® Credit Card,I have to bear a zero liability on the lost card with this credit card.,"Zoravar
Posted on: Aug 6, 2019",Zoravar
Toll free assistance,American Express®® Credit Card,There is a a24/7 toll free assistance available for all my card related queries.,"Tridha
Posted on: Aug 6, 2019",Tridha
Airport lounge benefits,American Express®® Credit Card,The airport lounge benefits are my favorite aspect of this card.,"Anita
Posted on: Aug 6, 2019",Anita
Super happy,American Express®® Credit Card,Super happy with my credit card. It bags me amazing dining offers at top premium restaurants.,"Bagha
Posted on: Aug 6, 2019",Bagha
Impressed,American Express®® Credit Card,Impressed by the diversity in the nature of rewards made available with this card.,"Jigar
Posted on: Aug 6, 2019",Jigar
Priority pass membership,American Express®® Credit Card,I got a complimentary priority pass membership with my card.,"Pari
Posted on: Aug 6, 2019",Pari
Amazon voucher,American Express®® Credit Card,The Amazon voucher worth INR 1000 came as a free benefit to me.,"Bhavya
Posted on: Aug 6, 2019",Bhavya
Abundant benefits,American Express®® Credit Card,Can't get over the abundant benefits that I can avail with my credit card.,"Daya
Posted on: Aug 6, 2019",Daya
Fine variety in offers,American Express®® Credit Card,"Simply love the fine variety in offers, benefits and deals available with this card.","Tapeshwar
Posted on: Aug 6, 2019",Tapeshwar
Great dining vouchers,American Express®® Credit Card,Great dining vouchers and discounts available with this card.,"Gambhir
Posted on: Aug 6, 2019",Gambhir
Love it,American Express®® Credit Card,I totally vouch for this card. It is the best!! Love it!!,"Lavish
Posted on: Aug 6, 2019",Lavish
Truly admire the perfection,American Express®® Credit Card,Truly admire the perfection of this credit card. Definitely the best one I have ever used.,"Mani
Posted on: Aug 6, 2019",Mani
Applied for this card online,American Express®® Credit Card,Applied for this card online and the bank followed a 100% paperless method.,"Madhav
Posted on: Aug 6, 2019",Madhav
Goods purchased,American Express®® Credit Card,"In case any of my goods purchased with this card get stolen or destroyed during the first 2 months, I am eligible for a full refund.","Kim
Posted on: Aug 6, 2019",Kim
Best card,American Express®® Credit Card,Truly the best card with the most rewarding schemes and benefits.,"Brij
Posted on: Aug 6, 2019",Brij
Cost,American Express®® Credit Card,Though the cost involved is high but this card is still the most perfect one in terms of benefits.,"Kabir
Posted on: Aug 6, 2019",Kabir
AMEX card online,American Express®® Credit Card,I applied for my AMEX card online and the agent came to my place for the documentation.,"Alizeh
Posted on: Aug 6, 2019",Alizeh
Purchases,American Express®® Credit Card,"On the purchases done with my AMEX card, I get full protection for 2 months.","Purav
Posted on: Aug 6, 2019",Purav
Documentation,American Express®® Credit Card,The documentation involved while getting this card was fairly simple.,"Disha
Posted on: Aug 6, 2019",Disha
Agents at the AMEX bank,American Express®® Credit Card,Admire the agents at the AMEX bank who gave me all the plausible details related to this card.,"Ajit
Posted on: Aug 6, 2019",Ajit
Multitude of benefits,American Express®® Credit Card,"Just a great card with a multitude of benefits and rewards, you cannot afford to miss.","Mohak
Posted on: Aug 6, 2019",Mohak
Purchase protection,American Express®® Credit Card,Love the purchase protection benefit offered by this card. Perfect scheme!,"Poorvi
Posted on: Aug 6, 2019",Poorvi
The joining fee is reasonable,American Express®® Credit Card,The joining fee is reasonable. I had to pay only INR 5000. So good.,"Tahira
Posted on: Aug 6, 2019",Tahira
I am a loyal customer,American Express®® Credit Card,"I am a loyal customer of AMEX bank, so I get massive deals on movies, dining and shopping done with my card.","Anisha
Posted on: Aug 6, 2019",Anisha
Using this card,American Express®® Credit Card,"Using this card of past 4 years. It is the best you could have gotten, really!!","Utsav
Posted on: Aug 6, 2019",Utsav
Happy and content,American Express®® Credit Card,Happy and content with the purchase protection benefit of this card. So good!!,"Harijan
Posted on: Aug 6, 2019",Harijan
I have done my research,American Express®® Credit Card,I have done my research and I know for sure that there is no perfect card than this one. It is the best!,"Alok
Posted on: Aug 6, 2019",Alok
First card,American Express®® Credit Card,This is my first card and I am certain that there is none better!!,"Farida
Posted on: Aug 6, 2019",Farida
I can totally vouch,American Express®® Credit Card,I can totally vouch for this credit card. It is the best one so far!!,"Jagrit
Posted on: Aug 6, 2019",Jagrit
Purchase protection,American Express®® Credit Card,Love the purchase protection benefit of this card. Superb!!,"Manjaree
Posted on: Aug 6, 2019",Manjaree
Amazing savings,American Express®® Credit Card,"Go for this card, this one truly brings in amazing savings.","Aabhya
Posted on: Aug 6, 2019",Aabhya
Concierge service,American Express®® Credit Card,I can now order flowers and gifts by using the complimentary concierge service.,"Niharika
Posted on: Aug 6, 2019",Niharika
Best one,American Express®® Credit Card,Cannot tell you how impressive this credit card is!! Best one!!,"Kim
Posted on: Aug 6, 2019",Kim
Impressed,American Express®® Credit Card,Impressed by the massive variety in offers and benefits that I am getting with this card.,"Jagat
Posted on: Aug 6, 2019",Jagat
I get purchase protection,American Express®® Credit Card,"I can't believe that on all my purchases done with this credit card, I get purchase protection.","Anisha
Posted on: Aug 6, 2019",Anisha
Best card,American Express®® Credit Card,Truly the best card from AMEX bank. It is simply perfect!!,"Bhavesh
Posted on: Aug 6, 2019",Bhavesh
Concierge assistance,American Express®® Credit Card,The concierge assistance offered by this card is perfect for all types of bookings.,"Koyal
Posted on: Aug 6, 2019",Koyal
Assistance,American Express®® Credit Card,There is a 24/7 assistance available from AMEX bank which I always make use of for all my card related assistance.,"Amrita
Posted on: Aug 6, 2019",Amrita
Purchases,American Express®® Credit Card,"Now, I don't have to panic about my purchases, since I know that my items are protected under the purchase protection benefit of this card.","Preity
Posted on: Aug 6, 2019",Preity
Comprehensive and rewarding card,American Express®® Credit Card,Just haven't used a more comprehensive and rewarding card ever. This one is the best!!,"Jia
Posted on: Aug 6, 2019",Jia
Super admire,American Express®® Credit Card,Super admire the hands on customer team of the AMEX bank. Always up for query resolution.,"Kim
Posted on: Aug 6, 2019",Kim
Truly appreciate,American Express®® Credit Card,Truly appreciate and like the purchase protection benefit of my credit card.,"Tavish
Posted on: Aug 6, 2019",Tavish
Purchase protection,American Express®® Credit Card,"As part of the purchase protection, In case my item is stolen or lost, I get my entire amount refunded back.","Pankaj
Posted on: Aug 6, 2019",Pankaj
Protection benefit,American Express®® Credit Card,"I am a shopkeeper. So, the purchase protection benefit is perfect for me.","Manju
Posted on: Aug 6, 2019",Manju
